Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Bhangal, K'",K,40271779.3,Bhangal,26641463.41,4.5,6,3.0,E,40021095.89,20,28500000
"'Samakhusi, K'",K,40271779.3,Samakhusi,44224137.93,5.0,11,4.0,N,36524064.17,13,30000000
"'Maharajgunj, K'",K,40271779.3,Maharajgunj,66125000.0,6.5,5,3.0,E,40021095.89,15,65000000
"'Bansbari, K'",K,40271779.3,Bansbari,52578947.37,18.0,4,3.0,NE,38939095.74,13,115000000
"'Dhapasi, K'",K,40271779.3,Dhapasi,43197058.82,6.2,6,3.0,W,35035732.01,32,35000000
"'Anamnagar, K'",K,40271779.3,Anamnagar,29500000.0,5.0,5,4.0,E,40021095.89,12,33000000
"'Samakhusi, K'",K,40271779.3,Samakhusi,44224137.93,3.0,9,3.0,S,38378801.08,13,22500000
"'Samakhusi, K'",K,40271779.3,Samakhusi,44224137.93,4.0,6,3.0,W,35035732.01,13,27500000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,4.0,6,3.0,SE,41320000.0,13,23800000
"'Swayambhu, K'",K,40271779.3,Swayambhu,34017647.06,4.0,10,3.0,S,38378801.08,12,23000000
"'Nakhu, L'",L,34535434.84,Nakhu,31019047.62,1.1,4,3.0,SW,39995597.48,16,26500000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,8.1,5,2.0,E,40021095.89,13,41000000
"'Budhanilkantha, K'",K,40271779.3,Budhanilkantha,54403539.82,4.5,6,3.0,E,40021095.89,13,25500000
"'Pepsicola, K'",K,40271779.3,Pepsicola,37138888.89,1.1,6,3.0,S,38378801.08,30,32000000
"'Gothatar, K'",K,40271779.3,Gothatar,30709090.91,2.2,8,3.0,W,35035732.01,13,14000000
"'Kadaghari, K'",K,40271779.3,Kadaghari,18933333.33,3.0,5,3.0,E,40021095.89,12,17000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.0,2,1.0,NE,38939095.74,13,10000000
"'Imadol, L'",L,34535434.84,Imadol,26245555.56,3.2,9,4.0,NW,36240206.19,33,30000000
