Location,Land Area,Beadrooms,Floor,Facing,Road Acess,Price
"'Pepsicola, K'",3,5,2.5,E,4,18000000
"'Duwakot, B'",3.2,9,2.5,SW,8,24000000
"'Tikathali, L'",3.3,5,2.5,W,13,26500000
"'Budhanilkantha, K'",7,5,2.5,W,13,62500000
"'Dhapakhel, L'",4.1,6,2.5,S,16,32000000
"'Chyasundol, K'",4,5,2.5,W,13,30000000
"'Balkhu, K'",4.2,5,2.5,NE,13,42500000
"'Nakhipot, L'",4.1,7,2.5,S,13,42000000
"'Imadol, L'",3.1,5,2.5,SW,13,27500000
"'Imadol, L'",3.1,7,2.5,SE,13,42000000
"'Dhapasi, K'",4,6,2.5,NE,13,35000000
"'Nepaltar, K'",7,8,2.5,SW,13,35000000
"'Imadol, L'",3,7,2.5,E,13,23500000
"'Dhapakhel, L'",5.5,5,2.5,S,20,46000000
"'Gothatar, K'",3,6,2.5,N,18,23500000
"'Kapan, K'",4.2,6,2.5,S,13,22500000
"'Sital Height, L'",4,5,2.5,W,14,39500000
"'Gothatar, K'",3.1,7,2.5,W,20,27500000
"'Nakhipot, L'",5,4,2.5,E,20,50000000
"'Dhumbarahi, K'",3.5,6,2.5,N,8,20000000
"'Nakhipot, L'",5,4,2.5,E,20,49000000
"'Imadol, L'",3,5,2.5,S,13,25000000
"'Budhanilkantha, K'",4.5,6,2.5,S,13,43500000
"'Satdobato, L'",4,4,2.5,S,13,31500000
"'Budhanilkantha, K'",3,2,2.5,NE,15,12500000
"'Imadol, L'",2.3,4,2.5,S,13,22000000
"'Ganesh chowk, K'",3.3,4,2.5,W,20,47500000
"'Bhangal, K'",3.3,5,2.5,NE,13,35000000
"'Ganesh chowk, K'",3.1,10,2.5,NE,20,26000000
"'Bhaisepati, L'",5,5,2.5,S,13,55000000
"'Pasikot, K'",6,8,2.5,SW,20,55000000
"'Imadol, L'",3,5,2.5,S,13,29000000
"'Lasuntar, K'",3.3,6,2.5,N,13,28500000
"'Tikathali, L'",3.2,6,2.5,E,13,26900000
"'Imadol, L'",3.3,6,2.5,W,13,38500000
"'Pasikot, K'",5,4,2.5,E,20,47500000
"'Dhapakhel, L'",8.2,6,2.5,S,20,49000000
"'Imadol, L'",3.1,6,2.5,E,16,29000000
"'Lubhu, L'",3.1,5,2.5,E,16,22000000
"'Harisiddhi, L'",7,6,2.5,W,13,43500000
"'Imadol, L'",3.1,6,2.5,NE,13,33500000
"'Sital height, L'",3,4,2.5,E,13,24500000
"'Bhaisepati, L'",7,5,2.5,SE,13,75000000
"'Imadol, L'",3,6,2.5,NW,15,21000000
"'Bhaisepati, L'",5.1,4,2.5,E,13,50000000
"'Bhaisepati, L'",4.5,4,2.5,W,13,45000000
"'Bhaisepati, L'",4,4,2.5,N,16,41000000
"'Kalanki, K'",6,4,2.5,E,10,60000000
"'Gothatar, K'",3,6,2.5,N,13,26500000
"'Sanagaun, L'",4.1,5,2.5,S,20,33500000
"'Sanagaun, L'",3,6,2.5,N,13,26000000
"'Chobar, K'",5.2,5,2.5,S,20,35000000
"'Nilopul, K'",4,2,2.5,SE,13,40000000
"'Nakhipot, L'",4.2,6,2.5,N,13,39000000
"'Nakhipot, L'",5,5,2.5,E,20,47500000
"'Imadol, L'",3.5,5,2.5,NE,20,21000000
"'Jorpati, K'",3,10,2.5,W,10,28500000
"'Baneshwor, K'",5,5,2.5,E,14,45000000
"'Gokarna, K'",3.5,6,2.5,E,13,20000000
"'Sital Height, L'",4.1,5,2.5,E,13,30000000
"'Bhaisepati, L'",3.1,4,2.5,E,20,32500000
"'Mandikatar, K'",3.5,6,2.5,N,13,27000000
"'Pasikot, K'",3.75,3,2.5,W,16,28000000
"'Pasikot, K'",17,2,2.5,NE,13,110000000
"'Bhaisepati, L'",4.3,7,2.5,S,13,37000000
"'Kalanki, K'",3,4,2.5,NW,15,33000000
"'Kadaghari, K'",3,5,2.5,W,20,25500000
"'Budhanilkantha, K'",6,6,2.5,S,13,44500000
"'Balkot, B'",5.1,4,2.5,S,10,30000000
"'Galfutar, K'",4.5,4,2.5,SW,16,40000000
"'Hattigauda, K'",5,5,2.5,SW,13,49000000
"'Imadol, L'",3,4,2.5,SE,13,19000000
"'Sanagaun, L'",2.3,5,2.5,S,13,19900000
"'Imadol, L'",3.1,5,2.5,E,13,33000000
"'Imadol, L'",16,7,2.5,E,13,79500000
"'Baluwakhani, K'",4,6,2.5,W,20,27500000
"'Balaju, K'",3.21,4,2.5,S,16,13500000
"'Budhanilkantha, K'",29,5,2.5,E,13,159500000
"'Khusibu, K'",3.2,5,2.5,E,13,34000000
"'Rudreshwor, K'",6,5,2.5,E,13,35000000
"'Dadhikot, B'",10,5,2.5,E,14,59500000
"'Sitapaila, K'",9.85,5,2.5,SE,12,60000000
"'Thankot, K'",4,1,2.5,S,13,25000000
"'Tikathali, L'",4.25,6,2.5,NW,13,31500000
"'Maitidevi, K'",4.1,5,2.5,SE,13,24000000
"'Kapan, K'",3,5,2.5,NE,14,25000000
"'Imadol, L'",3,4,2.5,E,6,19000000
"'Bhangal, K'",4.5,7,2.5,W,13,32000000
"'Hattiban, L'",3,3,2.5,NW,20,24000000
"'Kadaghari, K'",3.5,6,2.5,E,6,21000000
"'Muhanpokhari, K'",11.2,4,2.5,E,13,52500000
"'Baneshwor, K'",28,4,2.5,E,13,252000000
"'Chamati, K'",3.2,4,2.5,E,26,28000000
"'Kapan, K'",6,5,2.5,W,13,32500000
"'Tikathali, L'",3,5,2.5,S,13,22000000
"'Imadol, L'",3,5,2.5,E,13,24500000
"'Bhangal, K'",3,6,2.5,E,13,27000000
"'Gothatar, K'",4,5,2.5,E,13,26200000
"'Kadaghari, K'",3,6,2.5,E,13,21700000
"'Gothatar, K'",4,5,2.5,E,20,30000000
"'Gokarna, K'",3,4,2.5,E,13,19500000
"'Setipakha, L'",5.5,4,2.5,E,10,31000000
"'Naxal, K'",5.2,3,2.5,E,12,56000000
"'Balkhu, K'",16,5,2.5,S,10,5000000
"'Mandikatar, K'",4.1,2,2.5,SE,14,45000000
"'Kitani, L'",3.1,4,2.5,N,22,32500000
"'Mandikatar, K'",6.6,5,2.5,NW,10,55000000
"'Imadol, L'",5.5,5,2.5,W,13,37500000
"'Imadol, L'",4,5,2.5,N,13,46000000
"'Tokha, K'",6.1,5,2.5,SW,20,57500000
"'Mandikatar, K'",4.1,2,2.5,W,16,45000000
"'Bhangal, K'",4.1,6,2.5,E,12,39500000
"'Godawari, L'",62,5,2.5,S,28,93000000
"'Sukedhara, K'",6,2,2.5,S,12,50000000
"'Bansbari, K'",4.5,4,2.5,E,13,52000000
