Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Facing,Facing_PriceCode,Road Access,Price
"'Khumaltar, L'",L,33467802.12,Khumaltar,37854876.33,4,5,S,32636997.24,13,38500000
"'Dillibazar, K'",K,36682079.16,Dillibazar,41610065.97,4.3,4,W,34071065.83,20,60000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.5,5,N,32763770.05,13,29900000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,6,S,32636997.24,13,29000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3.1,5,E,36403707.15,13,29000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4.5,5,SE,37959390.61,20,45000000
"'Gongabu, K'",K,36682079.16,Gongabu,37654719.44,5,6,N,32763770.05,13,42000000
"'Gongabu, K'",K,36682079.16,Gongabu,37654719.44,4,6,N,32763770.05,13,32500000
"'Chunikhel, K'",K,36682079.16,Chunikhel,36001155.09,4.1,6,S,32636997.24,13,33500000
"'Gongabu, K'",K,36682079.16,Gongabu,37654719.44,4.5,4,SE,37959390.61,20,45000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,5,N,32763770.05,13,25500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3,6,S,32636997.24,13,23000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,6,S,32636997.24,13,37000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,4.5,4,NW,32684090.91,13,32500000
"'Chunikhel, K'",K,36682079.16,Chunikhel,36001155.09,3.1,5,SW,33039133.52,13,31500000
"'Dhaneshwor, K'",K,36682079.16,Dhaneshwor,34058627.97,5,3,E,36403707.15,12,28000000
"'Wasik, K'",K,36682079.16,Wasik,37301890.15,4.2,5,NE,33725298.44,20,43500000
"'Gongabu, K'",K,36682079.16,Gongabu,37654719.44,5,4,W,34071065.83,10,37500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3.3,5,N,32763770.05,20,29500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,6,4,E,36403707.15,13,57500000
"'Budhgar, K'",K,36682079.16,Budhgar,39710981.06,3.51,7,E,36403707.15,16,70000000
"'Bhangal, K'",K,36682079.16,Bhangal,36385024.74,3.5,3,S,32636997.24,10,30000000
"'Hattiban, L'",L,33467802.12,Hattiban,31640948.49,3,3,SE,37959390.61,13,20000000
"'Maharajgunj, K'",K,36682079.16,Maharajgunj,46772913.69,4,5,E,36403707.15,13,90000000
"'Dhapakhel, L'",L,33467802.12,Dhapakhel,35556096.25,6.5,4,E,36403707.15,16,32000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.2,3,W,34071065.83,13,38500000
"'Godawari, L'",L,33467802.12,Godawari,30611868.08,3,2,E,36403707.15,20,17000000
"'Gochaur, L'",L,33467802.12,Gochaur,31516183.75,4.3,4,NW,32684090.91,26,12000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,2.5,5,NE,33725298.44,13,17500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,5.1,7,W,34071065.83,13,40000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,2.5,5,E,36403707.15,13,20000000
"'Hattiban, L'",L,33467802.12,Hattiban,31640948.49,4.5,3,S,32636997.24,13,39500000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,7,6,W,34071065.83,13,32500000
"'Setipakha, L'",L,33467802.12,Setipakha,32044463.17,2.5,4,NE,33725298.44,13,18900000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,3.5,4,E,36403707.15,16,26000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,3.3,6,NE,33725298.44,13,30000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,4,5,S,32636997.24,13,34500000
"'Karyabinayak, L'",L,33467802.12,Karyabinayak,34473168.44,4,5,SW,33039133.52,13,34000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,3.5,5,E,36403707.15,16,26000000
"'Sital Height, L'",L,33467802.12,Sital Height,33583901.06,3,5,NE,33725298.44,13,23000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,3.5,3,W,34071065.83,20,14500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4.5,6,N,32763770.05,13,49500000
"'Sonakothi, L'",L,33467802.12,Sonakothi,34970729.2,6.1,7,E,36403707.15,20,50000000
"'Nakhipot, L'",L,33467802.12,Nakhipot,36983053.75,5.3,6,NW,32684090.91,13,47500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.1,5,E,36403707.15,20,29000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,6,E,36403707.15,20,23000000
"'Khumaltar, L'",L,33467802.12,Khumaltar,37854876.33,4.5,6,W,34071065.83,20,41500000
"'Syuchatar, K'",K,36682079.16,Syuchatar,33842399.51,4.2,6,SW,33039133.52,20,35000000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,4,4,E,36403707.15,20,40000000
"'Dadhikot, B'",B,29573874.67,Dadhikot,31015916.45,6,5,NE,33725298.44,13,26000000
"'Chyasundol, K'",K,36682079.16,Chyasundol,35360065.97,3.3,3,S,32636997.24,22,27500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4,4,N,32763770.05,13,46000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,2.2,5,N,32763770.05,13,22500000
"'Harisiddhi, L'",L,33467802.12,Harisiddhi,31794191.49,3.1,5,E,36403707.15,13,24000000
"'Harisiddhi, L'",L,33467802.12,Harisiddhi,31794191.49,3,6,W,34071065.83,20,31500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,5,S,32636997.24,13,37500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3,6,NE,33725298.44,11,20700000
"'Thali, K'",K,36682079.16,Thali,34620071.97,3,4,N,32763770.05,20,18500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,5,E,36403707.15,13,29000000
"'Dhapakhel, L'",L,33467802.12,Dhapakhel,35556096.25,6,9,NW,32684090.91,13,55000000
"'Karuna Hospital, K'",K,36682079.16,Karuna Hospital,36529162.88,4.5,9,SE,37959390.61,14,35000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,2.5,3,S,32636997.24,13,21500000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,5,3,NE,33725298.44,10,25000000
"'Harisiddhi, L'",L,33467802.12,Harisiddhi,31794191.49,3.3,7,E,36403707.15,20,32500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3.5,6,N,32763770.05,20,34000000
"'Hattiban, L'",L,33467802.12,Hattiban,31640948.49,5.2,6,SW,33039133.52,15,45000000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,3.2,5,N,32763770.05,36,26000000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,3.2,7,N,32763770.05,13,23500000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,3.2,6,W,34071065.83,13,27500000
"'Tokha, K'",K,36682079.16,Tokha,32918811.87,4,2,E,36403707.15,12,26000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.2,7,NE,33725298.44,20,27500000
"'Phutung, K'",K,36682079.16,Phutung,34847344.7,3,6,W,34071065.83,20,16500000
"'Sitapaila, K'",K,36682079.16,Sitapaila,35016883.77,6,9,S,32636997.24,13,35000000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,3.2,5,NW,32684090.91,13,24000000
"'Dadhikot, B'",B,29573874.67,Dadhikot,31015916.45,4,5,S,32636997.24,13,27000000
"'Balkot, B'",B,29573874.67,Balkot,31347812.38,3,5,E,36403707.15,13,21000000
"'Chardobato, B'",B,29573874.67,Chardobato,29703522.43,4.3,7,S,32636997.24,12,31000000
"'Dhunchepakha, B'",B,29573874.67,Dhunchepakha,29885340.61,4.3,6,NW,32684090.91,13,33000000
"'Sitapakha, L'",L,33467802.12,Sitapakha,31762715.8,3,5,NW,32684090.91,12,23500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,2.3,4,N,32763770.05,10,24000000
"'Mandikatar, K'",K,36682079.16,Mandikatar,35621386.11,4,1,NW,32684090.91,13,38000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,2.5,4,N,32763770.05,10,25500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3.1,5,E,36403707.15,13,30000000
"'Hiledol, K'",K,36682079.16,Hiledol,36682079.16,2.3,5,N,32763770.05,12,16000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.5,5,E,36403707.15,13,36500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,4,W,34071065.83,14,23500000
"'Dhalmal, K'",K,36682079.16,Dhalmal,35235065.97,3.3,4,N,32763770.05,11,26000000
"'Shirj, K'",K,36682079.16,Shirj,36938253.79,4,6,S,32636997.24,16,39500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4,6,NE,33725298.44,13,44500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,4,W,34071065.83,13,24000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4.5,5,E,36403707.15,13,40000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,6.2,5,NW,32684090.91,13,28000000
"'Sitapakha, L'",L,33467802.12,Sitapakha,31762715.8,3.5,4,W,34071065.83,20,27500000
"'Gongabu, K'",K,36682079.16,Gongabu,37654719.44,5.2,6,S,32636997.24,13,52500000
"'Sallaghari, B'",B,29573874.67,Sallaghari,27695624.76,3,2,S,32636997.24,13,16500000
"'Tokha, K'",K,36682079.16,Tokha,32918811.87,3.5,6,S,32636997.24,13,27500000
"'Bhangal, K'",K,36682079.16,Bhangal,36385024.74,5.5,5,SE,37959390.61,20,50000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,7,3,S,32636997.24,13,48000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.5,4,SE,37959390.61,13,42500000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.2,3,E,36403707.15,13,39500000
"'Balambu, K'",K,36682079.16,Balambu,34651732.64,4.5,5,NE,33725298.44,13,21000000
"'Pasikot, K'",K,36682079.16,Pasikot,38020049.48,5,6,W,34071065.83,15,45000000
"'Thankot, K'",K,36682079.16,Thankot,33985065.97,3.5,6,NE,33725298.44,12,22000000
"'Sanagaun, L'",L,33467802.12,Sanagaun,29003901.06,2.3,5,E,36403707.15,13,16000000
"'Khumaltar, L'",L,33467802.12,Khumaltar,37854876.33,3.1,5,E,36403707.15,13,30000000
"'Harisiddhi, L'",L,33467802.12,Harisiddhi,31794191.49,4.5,3,W,34071065.83,26,29000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,4,5,SE,37959390.61,13,40000000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,2.5,5,N,32763770.05,13,15500000
"'Pepsicola, K'",K,36682079.16,Pepsicola,36783575.98,3.1,6,E,36403707.15,20,25000000
"'Hattiban, L'",L,33467802.12,Hattiban,31640948.49,4.5,4,W,34071065.83,20,36000000
"'Sallaghari, B'",B,29573874.67,Sallaghari,27695624.76,4,6,NE,33725298.44,20,28500000
"'Lubhu, L'",L,33467802.12,Lubhu,24974215.04,2.5,4,E,36403707.15,13,17000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,5,E,36403707.15,13,31500000
"'Budhani, K'",K,36682079.16,Budhani,36682079.16,7,5,S,32636997.24,14,50000000
"'Boudha, K'",K,36682079.16,Boudha,36880056.55,1,2,E,36403707.15,8,7500000
"'Thulobharyang, K'",K,36682079.16,Thulobharyang,37210981.06,4,6,NE,33725298.44,13,36500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.3,7,E,36403707.15,13,42500000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3,7,S,32636997.24,20,26500000
"'Hattigauda, K'",K,36682079.16,Hattigauda,36045599.54,4.5,6,N,32763770.05,13,31000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.2,5,NE,33725298.44,20,43000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,6,6,N,32763770.05,16,50000000
"'Pasikot, K'",K,36682079.16,Pasikot,38020049.48,4.1,6,E,36403707.15,13,45000000
"'Kalanki, K'",K,36682079.16,Kalanki,39569515.35,8,7,NE,33725298.44,13,60000000
"'Lasuntar, K'",K,36682079.16,Lasuntar,35915770.83,5,6,SE,37959390.61,13,43500000
"'Kapan, K'",K,36682079.16,Kapan,32471238.82,3,6,W,34071065.83,13,22000000
"'Dhalahiti, L'",L,33467802.12,Dhalahiti,34288911.02,4.25,6,S,32636997.24,14,42500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3.1,6,W,34071065.83,20,27500000
"'Dholahiti, L'",L,33467802.12,Dholahiti,35431501.77,5,5,E,36403707.15,13,48500000
"'Kapan, K'",K,36682079.16,Kapan,32471238.82,3.2,6,W,34071065.83,13,32500000
"'Kalanki, K'",K,36682079.16,Kalanki,39569515.35,5,5,E,36403707.15,13,65000000
"'Ganesh chowk, K'",K,36682079.16,Ganesh Chowk,37613799.48,4,6,W,34071065.83,13,38000000
"'Chapali, K'",K,36682079.16,Chapali,38737199.4,4.1,7,NE,33725298.44,13,41500000
"'Chunikhel, K'",K,36682079.16,Chunikhel,36001155.09,4.2,6,NW,32684090.91,13,38500000
"'Kapan, K'",K,36682079.16,Kapan,32471238.82,3.1,6,SE,37959390.61,13,30000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,3.1,6,W,34071065.83,13,32500000
"'Goldhunga, K'",K,36682079.16,Goldhunga,34901732.64,3.2,5,E,36403707.15,13,22000000
"'Bhaisepati, L'",L,33467802.12,Bhaisepati,41013560.42,4,4,N,32763770.05,13,36500000
"'Thulobharyang, K'",K,36682079.16,Thulobharyang,37210981.06,3,6,NE,33725298.44,13,36500000
"'Narayanthan, K'",K,36682079.16,Narayanthan,35620071.97,10.3,4,E,36403707.15,20,80000000
"'Pepsicola, K'",K,36682079.16,Pepsicola,36783575.98,3,5,E,36403707.15,4,18000000
"'Duwakot, B'",B,29573874.67,Duwakot,28324196.19,3.2,9,SW,33039133.52,8,24000000
"'Tikathali, L'",L,33467802.12,Tikathali,29599710.81,3.3,5,W,34071065.83,13,26500000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,7,5,W,34071065.83,13,62500000
"'Dhapakhel, L'",L,33467802.12,Dhapakhel,35556096.25,4.1,6,S,32636997.24,16,32000000
"'Chyasundol, K'",K,36682079.16,Chyasundol,35360065.97,4,5,W,34071065.83,13,30000000
"'Balkhu, K'",K,36682079.16,Balkhu,37210981.06,4.2,5,NE,33725298.44,13,42500000
"'Nakhipot, L'",L,33467802.12,Nakhipot,36983053.75,4.1,7,S,32636997.24,13,42000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.1,5,SW,33039133.52,13,27500000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3.1,7,SE,37959390.61,13,42000000
"'Dhapasi, K'",K,36682079.16,Dhapasi,37755445.51,4,6,NE,33725298.44,13,35000000
"'Nepaltar, K'",K,36682079.16,Nepaltar,36529162.88,7,8,SW,33039133.52,13,35000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3,7,E,36403707.15,13,23500000
"'Dhapakhel, L'",L,33467802.12,Dhapakhel,35556096.25,5.5,5,S,32636997.24,20,46000000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3,6,N,32763770.05,18,23500000
"'Kapan, K'",K,36682079.16,Kapan,32471238.82,4.2,6,S,32636997.24,13,22500000
"'Sital Height, L'",L,33467802.12,Sital Height,33583901.06,4,5,W,34071065.83,14,39500000
"'Gothatar, K'",K,36682079.16,Gothatar,30072418.65,3.1,7,W,34071065.83,20,27500000
"'Nakhipot, L'",L,33467802.12,Nakhipot,36983053.75,5,4,E,36403707.15,20,50000000
"'Dhumbarahi, K'",K,36682079.16,Dhumbarahi,37882549.48,3.5,6,N,32763770.05,8,20000000
"'Nakhipot, L'",L,33467802.12,Nakhipot,36983053.75,5,4,E,36403707.15,20,49000000
"'Imadol, L'",L,33467802.12,Imadol,34591056.73,3,5,S,32636997.24,13,25000000
"'Budhanilkantha, K'",K,36682079.16,Budhanilkantha,41206415.83,4.5,6,S,32636997.24,13,43500000
"'Satdobato, L'",L,33467802.12,Satdobato,33014835.1,4,4,S,32636997.24,13,31500000
