Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Floor,Facing,Facing_PriceCode,Road Access,Price
"'Gochaur, L'",L,33117499.99,Gochaur,12000000.0,4.3,4,2.0,NW,33140350.88,26,12000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,2.5,5,2.0,NE,34112500.0,13,17500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,5.1,7,2.0,W,35438823.53,13,40000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,2.5,5,2.0,E,36431958.76,13,20000000
"'Hattiban, L'",L,33117499.99,Hattiban,29954545.45,4.5,3,2.0,S,31992462.31,13,39500000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,7.0,6,2.0,W,35438823.53,13,32500000
"'Setipakha, L'",L,33117499.99,Setipakha,28225000.0,2.5,4,2.0,NE,34112500.0,13,18900000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,3.5,4,2.0,E,36431958.76,16,26000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,3.3,6,2.0,NE,34112500.0,13,30000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,4.0,5,2.0,S,31992462.31,13,34500000
"'Karyabinayak, L'",L,33117499.99,Karyabinayak,39500000.0,4.0,5,2.0,SW,32763333.33,13,34000000
"'Bhaisepati, L'",L,33117499.99,Bhaisepati,42372340.43,3.5,5,2.0,E,36431958.76,16,26000000
"'Sital Height, L'",L,33117499.99,Sital Height,33545454.55,3.0,5,2.0,NE,34112500.0,13,23000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,3.5,3,2.0,W,35438823.53,20,14500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.5,6,2.0,N,32362162.15,13,49500000
"'Sonakothi, L'",L,33117499.99,Sonakothi,50000000.0,6.1,7,2.0,E,36431958.76,20,50000000
"'Nakhipot, L'",L,33117499.99,Nakhipot,40888888.89,5.3,6,2.0,NW,33140350.88,13,47500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.1,5,2.0,E,36431958.76,20,29000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,6,2.0,E,36431958.76,20,23000000
"'Khumaltar, L'",L,33117499.99,Khumaltar,44285714.29,4.5,6,2.0,W,35438823.53,20,41500000
"'Syuchatar, K'",K,37338387.72,Syuchatar,29785714.29,4.2,6,2.0,SW,32763333.33,20,35000000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,4.0,4,2.0,E,36431958.76,20,40000000
"'Dadhikot, B'",B,28067676.77,Dadhikot,33900000.0,6.0,5,2.0,NE,34112500.0,13,26000000
"'Chyasundol, K'",K,37338387.72,Chyasundol,28750000.0,3.3,3,2.0,S,31992462.31,22,27500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.0,4,2.0,N,32362162.15,13,46000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,2.2,5,2.0,N,32362162.15,13,22500000
"'Harisiddhi, L'",L,33117499.99,Harisiddhi,30884615.38,3.1,5,2.0,E,36431958.76,13,24000000
"'Harisiddhi, L'",L,33117499.99,Harisiddhi,30884615.38,3.0,6,2.0,W,35438823.53,20,31500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,5,2.0,S,31992462.31,13,37500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.0,6,2.0,NE,34112500.0,11,20700000
"'Thali, K'",K,37338387.72,Thali,16250000.0,3.0,4,2.0,N,32362162.15,20,18500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,5,2.0,E,36431958.76,13,29000000
"'Dhapakhel, L'",L,33117499.99,Dhapakhel,36807692.31,6.0,9,2.5,NW,33140350.88,13,55000000
"'Karuna Hospital, K'",K,37338387.72,Karuna Hospital,35000000.0,4.5,9,2.5,SE,38727272.73,14,35000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,2.5,3,2.5,S,31992462.31,13,21500000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,5.0,3,2.5,NE,34112500.0,10,25000000
"'Harisiddhi, L'",L,33117499.99,Harisiddhi,30884615.38,3.3,7,2.5,E,36431958.76,20,32500000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.5,6,2.5,n,34000000.0,20,34000000
"'Hattiban, L'",L,33117499.99,Hattiban,29954545.45,5.2,6,2.5,SW,32763333.33,15,45000000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,3.2,5,2.5,N,32362162.15,36,26000000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,3.2,7,2.5,N,32362162.15,13,23500000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,3.2,6,2.5,W,35438823.53,13,27500000
"'Tokha, K'",K,37338387.72,Tokha,31000000.0,4.0,2,2.5,E,36431958.76,12,26000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.2,7,2.5,NE,34112500.0,20,27500000
"'Phutung, K'",K,37338387.72,Phutung,16500000.0,3.0,6,2.5,W,35438823.53,20,16500000
"'Sitapaila, K'",K,37338387.72,Sitapaila,33166666.67,6.0,9,2.5,S,31992462.31,13,35000000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,3.2,5,2.5,NW,33140350.88,13,24000000
"'Dadhikot, B'",B,28067676.77,Dadhikot,33900000.0,4.0,5,2.5,S,31992462.31,13,27000000
"'Balkot, B'",B,28067676.77,Balkot,32108695.65,3.0,5,2.5,E,36431958.76,13,21000000
"'Chardobato, B'",B,28067676.77,Chardobato,31000000.0,4.3,7,2.5,S,31992462.31,12,31000000
"'Dhunchepakha, B'",B,28067676.77,Dhunchepakha,33000000.0,4.3,6,2.5,NW,33140350.88,13,33000000
"'Sitapakha, L'",L,33117499.99,Sitapakha,27500000.0,3.0,5,2.5,NW,33140350.88,12,23500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,2.3,4,2.5,N,32362162.15,10,24000000
"'Mandikatar, K'",K,37338387.72,Mandikatar,33409090.91,4.0,1,2.5,NW,33140350.88,13,38000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,2.5,4,2.5,N,32362162.15,10,25500000
"'Gothatar, K'",K,37338387.72,Gothatar,24946666.67,3.1,5,2.5,E,36431958.76,13,30000000
"'Hiledol, K'",K,37338387.72,Hiledol,16000000.0,2.3,5,2.5,N,32362162.15,12,16000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.5,5,2.5,E,36431958.76,13,36500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,4,2.5,W,35438823.53,14,23500000
"'Dhalmal, K'",K,37338387.72,Dhalmal,28000000.0,3.3,4,2.5,N,32362162.15,11,26000000
"'Shirj, K'",K,37338387.72,Shirj,39500000.0,4.0,6,2.5,S,31992462.31,16,39500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.0,6,2.5,NE,34112500.0,13,44500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,4,2.5,W,35438823.53,13,24000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.5,5,2.5,E,36431958.76,13,40000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,6.2,5,2.5,NW,33140350.88,13,28000000
"'Sitapakha, L'",L,33117499.99,Sitapakha,27500000.0,3.5,4,2.5,W,35438823.53,20,27500000
"'Gongabu, K'",K,37338387.72,Gongabu,37571428.57,5.2,6,2.5,S,31992462.31,13,52500000
"'Sallaghari, B'",B,28067676.77,Sallaghari,23000000.0,3.0,2,2.5,S,31992462.31,13,16500000
"'Tokha, K'",K,37338387.72,Tokha,31000000.0,3.5,6,2.5,S,31992462.31,13,27500000
"'Bhangal, K'",K,37338387.72,Bhangal,36653846.15,5.5,5,2.5,SE,38727272.73,20,50000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,7.0,3,2.5,S,31992462.31,13,48000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,4.5,4,2.5,SE,38727272.73,13,42500000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,4.2,3,2.5,E,36431958.76,13,39500000
"'Balambu, K'",K,37338387.72,Balambu,24500000.0,4.5,5,2.5,NE,34112500.0,13,21000000
"'Pasikot, K'",K,37338387.72,Pasikot,40950000.0,5.0,6,2.5,W,35438823.53,15,45000000
"'Thankot, K'",K,37338387.72,Thankot,21000000.0,3.5,6,2.5,NE,34112500.0,12,22000000
"'Sanagaun, L'",L,33117499.99,Sanagaun,26283333.33,2.3,5,2.5,E,36431958.76,13,16000000
"'Khumaltar, L'",L,33117499.99,Khumaltar,44285714.29,3.1,5,2.5,E,36431958.76,13,30000000
"'Harisiddhi, L'",L,33117499.99,Harisiddhi,30884615.38,4.5,3,2.5,W,35438823.53,26,29000000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,4.0,5,2.5,SE,38727272.73,13,40000000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,2.5,5,2.5,N,32362162.15,13,15500000
"'Pepsicola, K'",K,37338387.72,Pepsicola,37333333.33,3.1,6,2.5,E,36431958.76,20,25000000
"'Hattiban, L'",L,33117499.99,Hattiban,29954545.45,4.5,4,2.5,W,35438823.53,20,36000000
"'Sallaghari, B'",B,28067676.77,Sallaghari,23000000.0,4.0,6,2.5,NE,34112500.0,20,28500000
"'Lubhu, L'",L,33117499.99,Lubhu,20136363.64,2.5,4,2.5,E,36431958.76,13,17000000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,5,2.5,E,36431958.76,13,31500000
"'Budhani, K'",K,37338387.72,Budhani,50000000.0,7.0,5,2.5,S,31992462.31,14,50000000
"'Boudha, K'",K,37338387.72,Boudha,37375000.0,1.0,2,2.5,E,36431958.76,8,7500000
"'Thulobharyang, K'",K,37338387.72,Thulobharyang,41375000.0,4.0,6,2.5,NE,34112500.0,13,36500000
"'Imadol, L'",L,33117499.99,Imadol,34421111.1,3.3,7,2.5,E,36431958.76,13,42500000
"'Tikathali, L'",L,33117499.99,Tikathali,28607792.21,3.0,7,2.5,S,31992462.31,20,26500000
"'Hattigauda, K'",K,37338387.72,Hattigauda,35250000.0,4.5,6,2.5,N,32362162.15,13,31000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,4.2,5,2.5,NE,34112500.0,20,43000000
"'Budhanilkantha, K'",K,37338387.72,Budhanilkantha,42703703.7,6.0,6,2.5,N,32362162.15,16,50000000
"'Pasikot, K'",K,37338387.72,Pasikot,40950000.0,4.1,6,2.5,E,36431958.76,13,45000000
"'Kalanki, K'",K,37338387.72,Kalanki,43250000.0,8.0,7,2.5,NE,34112500.0,13,60000000
"'Lasuntar, K'",K,37338387.72,Lasuntar,34000000.0,5.0,6,2.5,SE,38727272.73,13,43500000
