Location,Land Area,Bedrooms,Floor,Facing,Road Access,Price
"Mulpani, K'",4.0,5,2.5,N,20,31500000.0
"Nakhudole, L'",4.0,3,2.5,S,10,27500000.0
"Basundhara, K'",6.0,7,2.5,S,14,47500000.0
"Kalikasthan, K'",4.0,8,5.5,NW,15,60000000.0
"Sainbu, L'",3.2,4,3.0,SE,15,35000000.0
"Bansbari, K'",10.2,5,2.5,E,15,62000000.0
"Padmasal, K'",5.0,3,3.0,NE,10,20000000.0
"Buddha Chowk, K'",5.0,5,2.5,W,13,36000000.0
"Mahadevtar, K'",10.2,6,2.5,S,20,46500000.0
"Bhangal, K'",5.0,3,2.5,SW,13,34000000.0
"Dhungedhara, K'",9.2,4,2.5,E,20,65000000.0
"Kapan, K'",4.2,6,2.5,S,12,37500000.0
"Thankot, K'",3.0,4,2.0,N,13,12500000.0
"Mahadevtar, K'",10.1,6,2.5,S,20,46500000.0
"Maharajgunj, K'",5.0,12,4.5,W,12,41000000.0
"Hattiban, L'",3.2,8,3.5,E,13,34000000.0
"Budhanilkantha, K'",4.2,5,2.5,SE,13,28500000.0
"Sitapaila, K'",4.0,5,2.5,W,13,18500000.0
"Teku, K'",8.1,7,3.5,E,10,77500000.0
"Bhutkhel , K'",4.0,7,3.0,W,20,26700000.0
"Khadka Gaun, K'",3.0,5,2.5,SE,13,21900000.0
"Syuchatar, K'",3.0,6,2.5,E,13,22500000.0
"Goldhunga, K'",3.0,2,1.0,S,16,13000000.0
"Bouddha, K'",4.0,6,2.5,E,18,29500000.0
"Satungal, K'",3.2,6,2.5,W,13,18500000.0
"Gurjudhara, K'",2.5,5,2.5,W,13,16500000.0
"Naikap, K'",3.1,4,2.5,S,13,21000000.0
"Dhungedhara, K'",3.5,5,2.5,N,13,33000000.0
"Grande Hospital, K'",8.2,5,2.5,W,18,70000000.0
"Golfutar, K'",5.1,6,2.5,E,12,29500000.0
"Sukedhara, K'",4.0,4,2.5,S,12,30000000.0
"Gatthaghar, B'",4.0,5,3.5,W,13,30000000.0
"Pasikot, K'",5.0,5,2.5,N,13,36000000.0
"Bhaisepati, L'",5.3,7,3.5,NE,16,49500000.0
"Koteshwor, K'",9.2,7,3.5,SE,20,60000000.0
"Nikhileshwor, K'",3.2,5,2.5,W,16,24000000.0
"Gurjudhara, K'",6.0,5,2.5,SE,10,29000000.0
"Naikap, K'",3.1,2,1.0,W,32,8500000.0
"Baniyatar, K'",3.0,4,2.5,W,12,19500000.0
"Paiyatar, K'",3.2,2,1.0,E,13,13500000.0
"Padmasal, K'",3.2,5,3.0,W,13,24000000.0
"Imadol, L'",2.2,3,2.0,S,13,17000000.0
"Khichapokhari, K'",5.3,7,4.0,W,10,35500000.0
"Paiyatar, K'",3.0,11,2.5,SE,13,17500000.0
"Maharajgunj, K'",8.1,6,3.0,E,14,75000000.0
"Lubhu, L'",3.0,4,2.5,S,20,29000000.0
"Bhangal, K'",3.0,4,2.5,NW,13,17500000.0
"Bhangal, K'",3.2,4,2.5,N,20,21000000.0
"Jyotinagar, K'",5.3,4,2.5,W,13,33500000.0
"Dhapasi, K'",3.0,5,2.5,E,12,19500000.0
"Hattiban, L'",5.5,5,3.0,S,16,50000000.0
"Megha City, K'",3.2,5,3.5,SE,13,29900000.000000004
"Pasikot, K'",4.0,5,2.5,SE,20,24000000.0
"Jaya Bageshwori, K'",4.0,5,3.0,N,18,38500000.0
"Sallaghari, B'",6.1,4,2.5,NE,20,37500000.0
"Dhungedhara, K'",6.0,5,2.5,SE,13,55000000.0
"Dhaneshwor, K'",3.0,2,1.0,E,13,13500000.0
"Bafal, K'",9.2,3,2.5,E,13,70000000.0
"Srijananagar, B'",3.2,7,3.0,NW,20,22500000.0
"Ekatabasti, K'",5.3,3,2.5,S,13,33000000.0
"Mandikhatar, K'",3.0,6,2.5,N,13,21000000.0
"Bhangal, K'",4.0,4,2.5,E,16,23500000.0
"Kapan, K'",3.0,2,1.0,E,10,11200000.000000002
"Bhangal, K'",3.2,2,1.0,NW,13,13500000.0
