Location,Land Area,Bedrooms,Road Access,Land Area x Road Access,Facing,Price
"""Bhangal, K""",4.2,4,26,109.2,S,32500000
"""Balkot, B""",7,2,13,91,E,25000000
"""Budhanilkantha, K""",7,4,20,140,S,57500000
"""Dallu, K""",3.1,8,20,62,W,29000000
"""Budhanilkantha, K""",3.1,7,15,46.5,N,17800000
"""Golfutar, K""",4,5,15,60,SW,29000000
"""Tokha, K""",3.1,4,13,40.3,W,14200000
"""Kapan, K""",5,2,11,55,S,15000000
"""Baniyatar, K""",3.1,6,10,31,S,16500000
"""Tokha, K""",7.5,6,15,112.5,W,53000000
"""Tokha, K""",8,6,12,96,SE,43000000
"""Baniyatar, K""",4,10,16,64,N,35000000
"""Nakhu, L""",4.2,4,14,58.8,NW,25500000
"""Imadol, L""",3.5,5,13,45.5,S,16500000
"""Sukedhara, K""",5.1,10,14,71.4,E,31800000
"""Sukedhara, K""",3.1,3,24,74.4,SW,19000000
"""Bhaisepati, L""",6.5,5,16,104,N,44500000
"""Hattigauda, K""",5,5,15,75,S,32000000
"""Golfutar, K""",4.1,5,12,49.2,NE,28500000
"""Basundhara, K""",4.3,5,12,51.6,E,26000000
"""Nagdaha, L""",3.2,4,15,48,W,9500000
"""Sitapaila, K""",5,6,13,65,N,25000000
"""Thankot, K""",4,5,16,64,S,17500000
"""Goldhunga, K""",2.5,3,10,25,W,6500000
"""Kadaghari, K""",3,3,13,39,NE,12500000
"""Imadol, L""",3.5,2,20,70,E,14200000
"""Budhanilkantha, K""",3.2,2,12,38.4,W,12800000
"""Jorpati, K""",3,9,36,108,E,39000000
"""Budhanilkantha, K""",4,10,13,52,S,27500000
"""Jorpati, K""",3,9,10,30,SW,16500000
"""Budhanilkantha, K""",5,5,13,65,SE,32000000
"""Dhapasi, K""",3.1,4,13,40.3,E,17000000
"""Budhanilkantha, K""",3.2,3,13,41.6,S,13000000
"""Kaushaltar, B""",3.5,10,20,70,E,19500000
"""Sitapaila, K""",5,4,20,100,S,23000000
"""Jhamsikhel, L""",3,5,20,60,S,35000000
"""Bhaisepati, L""",10,5,13,130,SW,70000000
"""Dhapasi, K""",4,3,20,80,E,23500000
"""Imadol, L""",3.3,7,13,42.9,SW,22500000
"""Khumaltar, L""",10,5,20,200,S,60000000
"""Bharyang, K""",3.5,5,12,42,W,22700000
"""Basundhara, K""",3.5,9,12,42,SE,19800000
"""Raniban, K""",6,7,14,84,E,33500000
"""Budhanilkantha, K""",4.5,6,13,58.5,W,25000000
"""Samakhusi, K""",4.2,10,20,84,S,34500000
"""Bhaisepati, L""",8,4,16,128,S,39077000
"""Khumaltar, L""",1.78,6,13,23.14,SW,37500000
"""Chundevi, K""",4,8,14,56,SW,31000000
"""Ekantakuna, L""",3,5,22,66,W,27000000
"""Dhobighat, L""",8,4,20,160,E,40000000
"""Budhanilkantha, K""",4,4,13,52,W,21500000
"""Jorpati, K""",3.2,4,12,38.4,E,12000000
"""Tikathali, L""",3.1,10,10,31,E,14500000
"""Kapan, K""",4,7,16,64,S,24000000
"""Kapan, K""",4,11,20,80,S,20400000
"""Mulpani, K""",3.1,7,14,43.4,SE,16000000
"""Tikathali, L""",3.2,4,10,32,W,9000000
"""Basundhara, K""",2.3,3,12,27.6,SE,19500000
"""Kapan, K""",3.2,4,13,41.6,E,17000000
"""Kapan, K""",3.2,1,13,41.6,W,20000000
"""Pasikot, K""",3.2,6,12,38.4,N,17500000
"""Bhangal, K""",4,4,13,52,E,25000000
"""Bafal, K""",4.5,4,13,58.5,W,26500000
"""Dhumbarahi, K""",4.1,8,13,53.3,S,32500000
"""Makalbari, K""",3.1,7,14,43.4,SW,21500000
"""Mhaipi, K""",7,8,15,105,NW,38000000
"""Dhapasi, K""",4.3,7,12,51.6,N,25000000
"""Dallu, K""",3,15,20,60,N,24000000
"""Tokha, K""",3.2,8,20,64,W,17000000
"""Gongabu, K""",4.3,5,16,68.8,N,26000000
"""Kalanki, K""",3,3,12,36,SW,13500000
"""Budhanilkantha, K""",4,6,20,80,E,22800000
"""Basundhara, K""",1,3,12,12,E,26000000
"""Sukedhara, K""",4,6,12,48,S,27500000
"""Mandikhatar, K""",3.13,4,12,37.56,E,22500000
"""Hattigauda, K""",6.5,5,15,97.5,W,30000000
"""Baluwatar, K""",6,6,12,72,NE,51500000
"""Sitapaila, K""",1,11,20,20,W,15000000
"""Basundhara, K""",9.6,11,14,134.4,S,45000000
"""Sukedhara, K""",5,11,15,75,E,33000000
"""Dhumbarahi, K""",7,12,13,91,E,40000000
"""Bhangal, K""",3.1,9,13,40.3,S,18200000
"""Budhanilkantha, K""",1.17,5,13,15.21,E,19200000
"""Budhanilkantha, K""",3.5,12,13,45.5,E,17700000
"""Budhanilkantha, K""",6,10,13,78,W,29800000
