Location,District,District_PriceCode,Area,Area_PriceCode,Land Area,Bedrooms,Road Access,Facing,Facing_PriceCode,Price
"'Kharipati, B'",B,30804807.69,Kharipati,17500000,3.87,3,20,S,35650000,17500000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,3.5,14,26,NE,39629508.2,40000000
"'Suryabinayak, B'",B,30804807.69,Suryabinayak,25250000,5,6,13,W,36390395.48,35000000
"'Suryabinayak, B'",B,30804807.69,Suryabinayak,25250000,8.31,5,40,NW,33140350.88,41500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,7,5,13,SE,41607843.14,36000000
"'Suryabinayak, B'",B,30804807.69,Suryabinayak,25250000,4,6,13,S,35650000,24000000
"'Bhaisepati, L'",L,35415524.19,Bhaisepati,48360000,13,4,20,E,41179677.42,104500000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,8.5,20,13,E,41179677.42,65000000
"'Bhangal, K'",K,42844536.71,Bhangal,36653846.15,4,6,13,W,36390395.48,37500000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,2.75,2,13,W,36390395.48,16000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.5,7,13,E,41179677.42,29000000
"'Lubhu, L'",L,35415524.19,Lubhu,21756521.74,2.5,4,13,W,36390395.48,17000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,4,8,13,S,35650000,32500000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,4,7,13,E,41179677.42,46000000
"'Swayambhu, K'",K,42844536.71,Swayambhu,48000000,4.5,7,13,NE,39629508.2,33000000
"'Kuleshwor, K'",K,42844536.71,Kuleshwor,73333333.33,10.5,4,10,W,36390395.48,80000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.75,6,16,NE,39629508.2,41000000
"'Tinkune, K'",K,42844536.71,Tinkune,78000000,8.5,13,13,E,41179677.42,78000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,4,7,13,E,41179677.42,35000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.5,5,13,NW,33140350.88,38000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.75,6,13,SE,41607843.14,43000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3.25,5,20,SE,41607843.14,32500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.25,7,20,W,36390395.48,26000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,6.25,6,13,SE,41607843.14,58500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4,6,13,W,36390395.48,36000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,9,8,26,SE,41607843.14,75000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,3,5,13,SE,41607843.14,27500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,5,6,20,NE,39629508.2,42500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,3.5,7,13,E,41179677.42,31000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4.06,4,20,W,36390395.48,46000000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,4,2,13,E,41179677.42,18500000
"'Maharajgunj, K'",K,42844536.71,Maharajgunj,85428571.43,4.5,6,12,S,35650000,55000000
"'Sitapaila, K'",K,42844536.71,Sitapaila,33166666.67,4,4,13,SE,41607843.14,32500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.06,5,13,SW,40332835.82,25000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4,4,14,NE,39629508.2,39000000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,3,6,13,S,35650000,25500000
"'Dhaneshwor, K'",K,42844536.71,Dhaneshwor,27500000,3.5,6,10,SW,40332835.82,25000000
"'Bafal, K'",K,42844536.71,Bafal,66250000,4.25,6,13,E,41179677.42,32500000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,3.5,6,13,W,36390395.48,35000000
"'Kapan, K'",K,42844536.71,Kapan,31736111.11,3,8,13,SE,41607843.14,19000000
"'Gothatar, K'",K,42844536.71,Gothatar,24946666.67,4,6,20,SE,41607843.14,33000000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,3.5,6,13,S,35650000,27000000
"'Kalanki, K'",K,42844536.71,Kalanki,43250000,3,4,13,S,35650000,26500000
"'Dholahiti, L'",L,35415524.19,Dholahiti,57666666.67,10,4,20,SE,41607843.14,82500000
"'Ramkot, K'",K,42844536.71,Ramkot,20500000,3.5,3,15,NE,39629508.2,20500000
"'Dallu, K'",K,42844536.71,Dallu,40460000,3.75,8,22,E,41179677.42,58000000
"'Gothatar, K'",K,42844536.71,Gothatar,24946666.67,5.25,2,13,E,41179677.42,19000000
"'Basundhara, K'",K,42844536.71,Basundhara,48750000,3.93,5,13,W,36390395.48,37500000
"'Boudha, K'",K,42844536.71,Boudha,37375000,2.5,15,11,S,35650000,17000000
"'Tripureshwor, K'",K,42844536.71,Tripureshwor,40000000,1.75,10,32,S,35650000,40000000
"'Koteshwor, K'",K,42844536.71,Koteshwor,49000000,3.5,13,16,W,36390395.48,35000000
"'Koteshwor, K'",K,42844536.71,Koteshwor,49000000,4,10,16,E,41179677.42,45000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,6,5,13,SW,40332835.82,56500000
"'Jorpati, K'",K,42844536.71,Jorpati,27136363.64,3.5,8,22,E,41179677.42,32500000
"'Mulpani, K'",K,42844536.71,Mulpani,32722222.22,8,7,20,E,41179677.42,40000000
"'Baluwatar, K'",K,42844536.71,Baluwatar,67000000,2.5,4,30,W,36390395.48,29500000
"'Dhapasi, K'",K,42844536.71,Dhapasi,53750000,13,4,14,S,35650000,91000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,4.5,6,13,E,41179677.42,43000000
"'Imadol, L'",L,35415524.19,Imadol,35386263.73,4.31,6,13,E,41179677.42,30000000
"'Radhe Radhe, B'",B,30804807.69,Radhe Radhe,28833333.33,5.37,7,20,SW,40332835.82,39000000
"'Madhyapur Thimi, B'",B,30804807.69,Madhyapur Thimi,23500000,3.25,4,20,SW,40332835.82,23500000
"'Sallaghari, B'",B,30804807.69,Sallaghari,23000000,3.75,13,20,SE,41607843.14,30000000
"'Sanothimi, B'",B,30804807.69,Sanothimi,36733333.33,3,5,20,N,38826844.25,29000000
"'Nayabazar, K'",K,42844536.71,Nayabazar,75500000,4.62,7,20,E,41179677.42,49000000
"'Battisputali, K'",K,42844536.71,Battisputali,50333333.33,3.93,5,14,E,41179677.42,40000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,24,10,13,NE,39629508.2,140000000
"'Budhanilkantha, K'",K,42844536.71,Budhanilkantha,53966666.67,3,5,13,S,35650000,28500000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,6,8,16,W,36390395.48,57000000
"'Pepsicola, K'",K,42844536.71,Pepsicola,37333333.33,3.87,6,20,W,36390395.48,29500000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,2.93,2,13,S,35650000,16000000
"'Tikathali, L'",L,35415524.19,Tikathali,28933333.33,3.5,8,13,N,38826844.25,28000000
"'Tokha, K'",K,42844536.71,Tokha,32214285.71,8.75,3,14,SE,41607843.14,52500000
"'Chandol, K'",K,42844536.71,Chandol,64250000,5.75,4,8,E,41179677.42,46000000
